Tempo (s),PWM,Temperatura (ºC)
222.02411460876465,89,44.33040078201369
222.98484778404236,115,44.819159335288376
224.11381936073303,136,44.819159335288376
225.16807579994202,126,44.819159335288376
226.1758737564087,100,45.307917888563054
227.1142876148224,116,44.819159335288376
228.14836955070496,109,44.819159335288376
229.21451234817505,135,44.33040078201369
230.25107645988464,109,44.819159335288376
231.16787672042847,84,44.819159335288376
232.37241458892822,58,45.307917888563054
233.20193481445312,69,44.819159335288376
234.111079454422,64,44.819159335288376
235.16055035591125,61,44.819159335288376
236.10534858703613,87,44.33040078201369
237.28042244911194,61,45.307917888563054
238.21201515197754,64,44.819159335288376
239.11136531829834,39,45.79667644183773
240.26843428611755,64,44.819159335288376
241.2395942211151,39,45.307917888563054
242.20988297462463,64,44.819159335288376
243.1223180294037,76,44.819159335288376
244.2809717655182,50,45.307917888563054
245.3002097606659,76,44.819159335288376
246.21484422683716,84,44.819159335288376
247.1676425933838,109,44.33040078201369
248.28066420555115,84,45.307917888563054
249.2700400352478,109,44.33040078201369
250.38584423065186,84,45.307917888563054
251.39747977256775,58,45.307917888563054
252.37749791145325,76,44.819159335288376
253.3619556427002,51,45.79667644183773
254.34498286247253,76,44.819159335288376
255.4620659351349,51,45.307917888563054
256.2733197212219,76,44.819159335288376
257.222279548645,51,45.79667644183773
258.29161190986633,25,45.307917888563054
259.26657152175903,29,45.307917888563054
260.286025762558,39,45.307917888563054
261.31909108161926,46,45.307917888563054
262.3452832698822,20,45.79667644183773
263.3355813026428,46,45.307917888563054
264.3421287536621,20,45.79667644183773
265.4411301612854,46,45.307917888563054
266.3507912158966,61,45.307917888563054
267.4257402420044,64,45.307917888563054
268.424925327301,63,45.307917888563054
269.4333143234253,38,45.79667644183773
270.40951228141785,12,45.79667644183773
271.52779245376587,0,45.79667644183773
272.4099724292755,0,45.79667644183773
273.58370065689087,25,44.819159335288376
274.46075463294983,51,45.307917888563054
275.5243000984192,76,45.307917888563054
276.4977219104767,84,45.307917888563054
277.5813319683075,59,45.79667644183773
278.5580656528473,84,44.33040078201369
279.49936175346375,88,45.307917888563054
280.5269730091095,89,45.307917888563054
281.5726492404938,64,45.79667644183773
282.54523825645447,38,45.79667644183773
283.60741782188416,64,45.307917888563054
284.54899621009827,89,45.307917888563054
285.57147002220154,88,45.307917888563054
286.5897710323334,84,45.307917888563054
287.64953112602234,110,44.819159335288376
288.55892515182495,84,45.79667644183773
289.59252977371216,110,44.33040078201369
290.6236708164215,84,45.79667644183773
291.5685684680939,60,45.307917888563054
292.62178683280945,58,45.307917888563054
293.6284644603729,33,45.79667644183773
294.7264699935913,56,45.307917888563054
295.6516652107239,53,45.307917888563054
296.68019437789917,53,45.307917888563054
297.660719871521,27,45.79667644183773
298.67634773254395,53,44.33040078201369
299.6968460083008,27,45.79667644183773
300.695184469223,53,44.819159335288376
301.7099070549011,56,45.307917888563054
302.7424244880676,51,45.307917888563054
303.8352687358856,47,45.307917888563054
304.68777680397034,72,44.819159335288376
305.8974344730377,47,45.307917888563054
306.76332926750183,72,44.819159335288376
