Tempo (s),PWM1,PWM2,Temperatura1 (ÂºC),Temperatura2 (ÂºC)
1944.0141735076904,255,255,87.34115347018572,69.25708699902249
1954.003566026688,255,255,87.34115347018572,69.74584555229717
1964.015586137772,255,255,86.36363636363636,69.74584555229717
1974.0249207019808,255,255,85.87487781036167,70.72336265884654
1984.0059230327608,255,255,85.38611925708699,72.18963831867057
1994.011126756668,255,255,85.38611925708699,73.16715542521995
2004.008913993836,0,255,84.40860215053763,73.65591397849462
2014.005412817001,0,255,84.40860215053763,74.1446725317693
2024.0012986660004,0,255,83.43108504398826,75.12218963831867
2034.0053977966309,0,255,82.94232649071358,76.09970674486803
2044.0126042366028,0,255,82.94232649071358,77.56598240469208
2054.0009949207306,0,255,81.47605083088953,78.54349951124145
2064.014047384262,0,255,80.49853372434018,79.5210166177908
2074.019926548004,0,255,78.54349951124145,79.5210166177908
2084.018969297409,0,255,77.56598240469208,80.49853372434018
2095.014414548874,0,255,76.09970674486803,80.49853372434018
2105.0126287937164,0,0,75.61094819159335,81.47605083088953
2115.009776115417,0,0,74.1446725317693,81.96480938416421
2125.004442214966,0,0,73.16715542521995,81.96480938416421
2135.014388561249,0,0,72.67839687194527,80.49853372434018
2145.0045619010925,0,0,71.7008797653959,80.49853372434018
2155.010814428329,0,0,71.7008797653959,80.00977517106548
2165.0065383911133,0,0,70.23460410557185,78.54349951124145
2175.004369735718,0,0,69.74584555229717,77.0772238514174
2185.0055260658264,0,0,68.76832844574781,76.09970674486803
2195.015665769577,0,0,67.79081133919844,74.633431085044
2205.0160880088806,0,255,67.30205278592376,73.65591397849462
2215.000729322433,0,255,66.32453567937438,72.67839687194527
2225.009778738022,0,255,65.34701857282501,71.7008797653959
2235.009179353714,0,255,64.36950146627565,70.72336265884654
2245.0081877708435,0,255,63.880742913000965,71.7008797653959
2255.007622718811,0,255,63.39198435972628,72.18963831867057
2265.003827095032,0,255,62.41446725317692,72.18963831867057
2275.0154826641083,0,255,61.43695014662755,72.67839687194527
2285.019626379013,0,255,61.43695014662755,73.16715542521995
2295.0029833316803,0,255,61.43695014662755,74.1446725317693
2305.013854265213,255,0,60.4594330400782,74.1446725317693
2315.0197649002075,255,0,60.94819159335288,75.12218963831867
2325.004806280136,255,0,60.94819159335288,74.633431085044
2335.0235929489136,255,0,61.92570869990224,74.1446725317693
2345.0147047042847,255,0,62.9032258064516,73.65591397849462
2355.012398004532,255,0,64.36950146627565,72.67839687194527
2365.004648685456,255,0,66.32453567937438,71.7008797653959
2375.006696462631,255,0,67.30205278592376,70.23460410557185
2385.002692461014,255,0,68.27956989247312,69.25708699902249
2395.010345220566,255,0,69.74584555229717,68.76832844574781
2405.001008272171,255,0,71.7008797653959,68.27956989247312
2415.0106995105743,255,0,72.67839687194527,67.79081133919844
2425.0123031139374,255,0,73.65591397849462,66.81329423264906
2435.0116908550262,255,0,74.1446725317693,65.34701857282501
2445.009180784225,255,0,75.12218963831867,65.34701857282501
2455.002655982971,255,0,76.09970674486803,65.34701857282501
2465.004875898361,255,0,77.0772238514174,64.36950146627565
2475.003664493561,255,0,76.58846529814272,63.880742913000965
2485.012975692749,255,0,77.56598240469208,63.39198435972628
2495.0059394836426,255,0,79.03225806451613,63.39198435972628
2505.007747888565,255,255,79.03225806451613,63.39198435972628
2515.011240005493,255,255,79.03225806451613,62.41446725317692
2525.0126070976257,255,255,79.03225806451613,62.9032258064516
2535.00239610672,255,255,79.03225806451613,63.39198435972628
2545.005187034607,255,255,80.00977517106548,64.85826001955033
2555.011702299118,255,255,79.5210166177908,65.34701857282501
2565.0005099773407,255,255,79.03225806451613,65.34701857282501
2575.004987716675,255,255,79.03225806451613,66.32453567937438
2585.0266008377075,255,255,79.03225806451613,67.30205278592376
2595.018580913544,255,255,79.03225806451613,67.79081133919844
2605.002872467041,0,255,78.54349951124145,69.25708699902249
2615.019527196884,0,255,79.03225806451613,69.74584555229717
2625.008832216263,0,255,79.5210166177908,71.21212121212122
2635.011003017425,0,255,78.05474095796676,72.18963831867057
2645.0144226551056,0,255,76.58846529814272,73.16715542521995
2655.0201663970947,0,255,76.09970674486803,74.1446725317693
2665.013771057129,0,255,75.61094819159335,75.61094819159335
2675.0083911418915,0,255,74.633431085044,76.09970674486803
2685.006259202957,0,255,73.65591397849462,77.0772238514174
2695.003389596939,0,255,72.67839687194527,77.56598240469208
2705.0043025016785,0,0,71.7008797653959,78.05474095796676
2715.0095913410187,0,0,70.23460410557185,79.03225806451613
2725.0090625286102,0,0,69.74584555229717,79.03225806451613
2736.010396718979,0,0,68.76832844574781,78.05474095796676
2746.0070140361786,0,0,67.30205278592376,77.0772238514174
2756.0067780017853,0,0,67.30205278592376,75.61094819159335
2766.0148797035217,0,0,66.81329423264906,75.61094819159335
2776.010667800904,0,0,65.34701857282501,73.16715542521995
2786.0082461833954,0,0,65.34701857282501,72.67839687194527
2796.0120146274567,0,0,63.880742913000965,71.21212121212122
2806.0013921260834,0,255,63.39198435972628,70.23460410557185
2816.0022048950195,0,255,62.9032258064516,69.25708699902249
2826.010053634644,0,255,62.41446725317692,68.76832844574781
2836.0190155506134,0,255,61.92570869990224,69.25708699902249
2846.015861272812,0,255,60.94819159335288,69.25708699902249
2856.0005791187286,0,255,59.97067448680351,68.76832844574781
2866.0101850032806,0,255,58.99315738025415,69.74584555229717
2876.0138704776764,0,255,58.99315738025415,70.72336265884654
2886.014406681061,0,255,58.50439882697947,71.21212121212122
2896.023008108139,0,255,58.50439882697947,71.21212121212122
2906.0103480815887,255,0,57.5268817204301,71.7008797653959
2916.002851486206,255,0,57.5268817204301,71.7008797653959
2926.0052840709686,255,0,58.01564027370478,71.21212121212122
